Cores,Frequency,L2cache,FSB,Mult.,Voltage,TDP,Socket,Partnumber(s),GPUfrequency,I/O bus,Memory,Burst,GPUmodel,Connectivity,SDP,Model Number,Front Side Bus,Multiplier,Mult,L2 Cache,Turbo,L3cache,Turbo Boostall-core/2.0(/max. 3.0),Atom (ULV),Atom (ULV).1,Unnamed: 2,Feature size,Unnamed: 4,x86,x86.1,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Base / Boost / TVB Clocks (GHz),GPU EU,GPU Max freq,Price,Model number,Clock speed,Cache,Cache.1,FSB speed,Threadsper core,TDP (W),Cache.2,Price (USD),Clock speed.1,QuickPath,Freq. (GHz),FSB (MHz),Voltage (V),Freq.,Power,Power.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,Freq. (MHz),L1cache,Model numberClock speed,sSpec number,Front-side bus,Clock multiplier,Voltage range,Part number(s),Core stepping,64-bit,FrqGHz,FSBMT/s,VT-x,P-core (performance),P-core (performance).1,P-core (performance).2,P-core (performance).3,E-core (efficiency),E-core (efficiency).1,E-core (efficiency).2,E-core (efficiency).3
1.0,1.6,0.512,533 MT/s,12×,0.9–1.1625 V,4.0,12.0,AU80586RE025D,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.6,1.024,533 MT/s,12×,0.9–1.1625 V,8.0,12.0,AU80587RE0251M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.67,0.512,,,0.8–1.175 V,10.0,50.0,AU80610004671AA,400 MHz,39.0,1 × DDR2-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.83,0.512,,,0.8–1.175 V,10.0,50.0,AU80610006252AA,400 MHz,39.0,1 × DDR2-8001 × DDR3-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.67,1.024,,,0.8–1.175 V,13.0,50.0,AU80610004392AA,400 MHz,39.0,1 × DDR2-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.83,1.024,,,0.8–1.175 V,13.0,50.0,AU80610006225AA,400 MHz,39.0,1 × DDR2-8001 × DDR3-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.87,1.024,,,0.91–1.21 V,10.0,50.0,DF8064101055400,400 MHz,39.0,1 × DDR3-8001 × DDR3-1066,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.87,1.024,,,0.91–1.21 V,10.0,50.0,DF8064101211300,640 MHz,39.0,1 × DDR3-8001 × DDR3-1066,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2608191223688907,1.024,,,0.91–1.21 V,10.0,50.0,DF8064101213700,640 MHz,39.0,1 × DDR3-8001 × DDR3-1066,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.13,1.024,,,0.91–1.21 V,10.0,50.0,DF8064101055647,640 MHz,39.0,1 × DDR3-8001 × DDR3-1066,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
